,Diabetes,HIV prevalence rate,Infant mortality,Poor or fair health,Premature age-adjusted mortality,Access to exercise opportunities,Adult obesity,Adult smoking,Excessive drinking,Sexually transmitted infections,Could not see doctor due to cost,Dentists,Diabetic screening,Health care costs,Mental health providers,Preventable hospital stays,Primary care physicians,Uninsured,Children in poverty,Children in single-parent households,High school graduation,Income inequality,Median household income,Social associations,Some college,Unemployment,Violent crime,Air pollution - particulate matter,Drinking water violations,Severe housing problems,2011 population estimate,Population that is not proficient in English
53013,0.116,103.0,7.0,0.169,322.6,0.663,0.321,0.148,0.148,175.2,0.118,74.0,0.87,9019.0,174.0,25.25,25.0,0.168,0.26,0.333,0.848,5.056,42332.0,17.522,0.622,0.101,146.22,10.65,0.0,0.128,4032,0.01
45069,0.142,419.0,9.7,0.283,560.9,0.43,0.398,0.231,0.116,749.7,0.246,21.0,0.69,9665.0,171.0,79.18,28.0,0.204,0.408,0.636,0.65,4.603,31185.0,7.106,0.272,0.129,1164.6,12.19,0.064,0.164,28003,0.007
20207,0.119,103.0,7.0,0.194,532.9,0.644,0.283,0.242,0.1625,293.0,0.148,31.0,0.88,9988.0,92.0,95.11,50.5,0.191,0.302,0.319,0.848,4.167,40971.0,21.354,0.541,0.065,301.57,8.23,0.0,0.112,3221,0.0
51595,0.132,497.2,7.0,0.165,652.7,0.969,0.334,0.2075,0.1625,818.8,0.148,72.0,0.84,9540.0,92.0,111.31,50.5,0.162,0.416,0.608,0.775,7.596,32676.0,26.132,0.557,0.102,582.27,12.1,0.012,0.285,5588,0.008
38023,0.099,103.0,7.0,0.087,241.5,0.544,0.286,0.263,0.271,314.2,0.148,0.0,0.97,6138.0,92.0,48.3,45.0,0.13,0.15,0.065,0.848,4.707,63616.0,44.883,0.665,0.02,0.0,10.08,0.0,0.054,2314,0.0
40123,0.105,28.8,8.9,0.231,528.2,0.676,0.354,0.267,0.129,513.7,0.207,61.0,0.74,10280.0,516.0,46.96,74.0,0.22,0.265,0.369,0.791,4.782,40479.0,14.49,0.601,0.049,495.52,10.22,0.0,0.143,37992,0.004
39169,0.104,47.1,6.5,0.117,330.0,0.691,0.288,0.172,0.097,236.8,0.145,41.0,0.86,9498.0,229.0,72.55,52.0,0.146,0.201,0.227,0.943,3.886,49580.0,14.889,0.489,0.063,90.56,13.84,0.116,0.124,115071,0.011
2220,0.075,80.1,7.0,0.11,341.6,1.0,0.288,0.213,0.246,210.0,0.075,133.0,0.8,8989.0,1053.0,81.11,199.0,0.253,0.126,0.293,0.826,3.987,66038.0,17.687,0.736,0.052,226.11,11.93,0.0,0.202,9020,0.019
6083,0.065,141.6,5.0,0.21,251.1,0.953,0.194,0.105,0.18,400.0,0.176,75.0,0.86,7426.0,412.0,30.43,77.0,0.211,0.209,0.312,0.878,4.928,60803.0,7.606,0.573,0.068,400.51,7.23,0.04,0.29,435697,0.118
38071,0.091,103.0,7.0,0.106,344.0,0.284,0.288,0.237,0.292,372.7,0.066,78.0,0.92,7926.0,407.0,60.9,113.0,0.144,0.174,0.301,0.904,4.054,49299.0,18.204,0.678,0.039,226.95,9.88,0.0,0.098,11554,0.003
46077,0.089,103.0,7.0,0.165,305.3,0.604,0.321,0.108,0.132,306.5,0.044,39.0,0.88,8163.0,92.0,61.91,38.0,0.138,0.14,0.216,0.848,3.651,50045.0,28.736,0.693,0.031,205.76,11.68,0.107,0.048,5065,0.003
27009,0.095,28.5,6.0,0.122,285.7,0.54,0.269,0.146,0.185,252.2,0.135,31.0,0.91,8783.0,8.0,50.57,23.0,0.084,0.143,0.298,0.922,4.435,51564.0,14.409,0.673,0.058,137.79,12.43,0.0,0.149,39214,0.004
1075,0.15,89.6,7.0,0.285,501.9,0.236,0.328,0.261,0.1625,350.7,0.129,21.0,0.8,10413.0,14.0,104.29,7.0,0.169,0.308,0.384,0.675,4.349,36475.0,11.221,0.469,0.069,49.74,12.4,0.0,0.116,14236,0.004
40125,0.133,67.1,7.6,0.194,511.8,0.731,0.372,0.308,0.155,435.3,0.183,49.0,0.79,9944.0,215.0,64.59,40.0,0.204,0.273,0.354,0.781,4.593,44405.0,11.73,0.535,0.052,473.52,10.26,0.121,0.129,71158,0.005
36043,0.103,83.4,7.6,0.142,301.2,0.657,0.31,0.193,0.188,288.3,0.151,31.0,0.88,8721.0,47.0,79.05,43.0,0.113,0.254,0.336,0.779,4.355,42460.0,12.092,0.607,0.081,239.18,11.5,0.222,0.137,64181,0.009
26025,0.125,101.4,10.1,0.185,431.0,0.667,0.35,0.258,0.15,588.5,0.132,61.0,0.87,9575.0,234.0,59.78,61.0,0.137,0.286,0.426,0.73,4.246,44343.0,12.065,0.589,0.076,639.4,12.66,0.0,0.154,135012,0.01
5063,0.118,100.7,8.0,0.219,440.1,0.515,0.309,0.232,0.099,329.5,0.148,35.0,0.83,11191.0,168.0,77.31,100.0,0.208,0.272,0.403,0.908,4.621,37761.0,12.154,0.496,0.092,503.74,12.16,0.02,0.143,36997,0.014
29119,0.113,79.9,8.4,0.256,487.3,0.433,0.298,0.337,0.1625,192.3,0.275,27.0,0.79,9229.0,9.0,74.19,13.0,0.249,0.322,0.339,0.9,4.656,35915.0,9.18,0.463,0.063,493.72,10.07,0.088,0.163,22558,0.036
